intersection_cluster,geometry,lat,lon,nearest_node
919,POINT (-75.79219115000001 45.36089179999998),45.36089179999998,-75.79219115000001,899978960
921,POINT (-75.8006507 45.357166599999985),45.357166599999985,-75.8006507,899958481
935,POINT (-75.6997846 45.269305799999984),45.269305799999984,-75.6997846,600098150
937,POINT (-75.6932428 45.33472459999999),45.33472459999999,-75.6932428,482530067
938,POINT (-75.6929276 45.33474069999999),45.33474069999999,-75.6929276,901793856
939,POINT (-75.67784245 45.43205289999999),45.43205289999999,-75.67784245,901214696
947,POINT (-75.7150456 45.409771099999986),45.409771099999986,-75.7150456,901051273
948,POINT (-75.9171813 45.31099719999999),45.31099719999999,-75.9171813,412653514
949,POINT (-75.91695150000001 45.311119549999994),45.311119549999994,-75.91695150000001,1580039904
950,POINT (-75.91789655 45.309507049999986),45.309507049999986,-75.91789655,1580070716
951,POINT (-75.9175513 45.30957999999999),45.30957999999999,-75.9175513,1578945733
952,POINT (-75.9156864 45.30859759999999),45.30859759999999,-75.9156864,1580039846
954,POINT (-75.9158345 45.30876039999999),45.30876039999999,-75.9158345,1578945713
957,POINT (-75.74954389999999 45.357069899999985),45.357069899999985,-75.74954389999999,901781363
958,POINT (-75.7494632 45.35728379999999),45.35728379999999,-75.7494632,901796515
962,POINT (-75.7631341 45.35132369999999),45.35132369999999,-75.7631341,899970608
964,POINT (-75.7631596 45.35157769999999),45.35157769999999,-75.7631596,899981014
975,POINT (-75.7231367 45.3906797),45.3906797,-75.7231367,901054269
976,POINT (-75.72313030000001 45.390930299999994),45.390930299999994,-75.72313030000001,901050118
980,POINT (-75.7102852 45.3963302),45.3963302,-75.7102852,31386437
981,POINT (-75.71028335 45.39657095),45.39657095,-75.71028335,320093219
983,POINT (-75.7076867 45.3973965),45.3973965,-75.7076867,901062300
984,POINT (-75.70767535 45.397701),45.397701,-75.70767535,901051908
987,POINT (-75.76696315000001 45.371915449999996),45.371915449999996,-75.76696315000001,899978386
988,POINT (-75.6029701 45.4376569),45.4376569,-75.6029701,9439999146
989,POINT (-75.6997366 45.40097104999998),45.40097104999998,-75.6997366,901057747
990,POINT (-75.6998188 45.40117479999999),45.40117479999999,-75.6998188,901053273
999,POINT (-75.7004793 45.33406129999999),45.33406129999999,-75.7004793,905127644
1000,POINT (-75.7007886 45.33415349999999),45.33415349999999,-75.7007886,1434814183
1003,POINT (-75.7327274 45.3866034),45.3866034,-75.7327274,1276243244
1004,POINT (-75.7324625 45.38663099999999),45.38663099999999,-75.7324625,900992248
1005,POINT (-75.7325228 45.386853399999985),45.386853399999985,-75.7325228,900989600
1008,POINT (-75.73653420000001 45.3627521),45.3627521,-75.73653420000001,901792609
1019,POINT (-75.770638 45.37002729999999),45.37002729999999,-75.770638,899959349
1020,POINT (-75.77061905 45.37030994999999),45.37030994999999,-75.77061905,899982293
1021,POINT (-75.7690084 45.37077319999999),45.37077319999999,-75.7690084,1473514592
1022,POINT (-75.7687117 45.370813799999986),45.370813799999986,-75.7687117,1473514619
1023,POINT (-75.7687909 45.371078799999985),45.371078799999985,-75.7687909,1473514596
1039,POINT (-75.79248494999999 45.33897295),45.33897295,-75.79248494999999,899964929
1040,POINT (-75.7924045 45.33919759999998),45.33919759999998,-75.7924045,899981638
1041,POINT (-75.79445640000002 45.338436999999985),45.338436999999985,-75.79445640000002,899953166
1042,POINT (-75.7943876 45.33865019999999),45.33865019999999,-75.7943876,899965192
1047,POINT (-75.7333625 45.377230299999994),45.377230299999994,-75.7333625,900985630
1055,POINT (-75.708986 45.40688619999999),45.40688619999999,-75.708986,901060871
1058,POINT (-75.73958013333333 45.38344379999999),45.38344379999999,-75.73958013333333,900985333
1059,POINT (-75.74029483333334 45.38484019999999),45.38484019999999,-75.74029483333334,9556210409
1060,POINT (-75.7406004 45.38494589999999),45.38494589999999,-75.7406004,900993046
1061,POINT (-75.7310424 45.35262044999999),45.35262044999999,-75.7310424,901796636
1072,POINT (-75.6732627 45.377873099999995),45.377873099999995,-75.6732627,903993931
1073,POINT (-75.6735503 45.37796979999998),45.37796979999998,-75.6735503,903993931
1074,POINT (-75.6715511 45.37806934999999),45.37806934999999,-75.6715511,903992948
1075,POINT (-75.6695282 45.378294049999994),45.378294049999994,-75.6695282,903986564
1076,POINT (-75.67137 45.37825679999999),45.37825679999999,-75.67137,903994090
1077,POINT (-75.669266 45.378470099999994),45.378470099999994,-75.669266,903993950
1078,POINT (-75.6730374 45.3780959),45.3780959,-75.6730374,903992223
1079,POINT (-75.6673625 45.37856365),45.37856365,-75.6673625,1652912006
1080,POINT (-75.6676777 45.378597150000004),45.378597150000004,-75.6676777,903992488
1090,POINT (-75.73372900000001 45.386133099999995),45.386133099999995,-75.73372900000001,1276243244
1091,POINT (-75.7338101 45.38636739999998),45.38636739999998,-75.7338101,6896782973
1103,POINT (-75.6527575 45.43189849999999),45.43189849999999,-75.6527575,901148323
1105,POINT (-75.7267859 45.389145799999994),45.389145799999994,-75.7267859,900989343
1106,POINT (-75.72675095 45.38935335),45.38935335,-75.72675095,900988458
1114,POINT (-75.83414355 45.323743549999996),45.323743549999996,-75.83414355,899859201
1124,POINT (-75.6932289 45.33290009999999),45.33290009999999,-75.6932289,6556581341
1125,POINT (-75.6930249 45.333040899999986),45.333040899999986,-75.6930249,901791207
1126,POINT (-75.6934064 45.333102049999994),45.333102049999994,-75.6934064,901778739
1155,POINT (-75.6879747 45.4261125),45.4261125,-75.6879747,4035021975
1156,POINT (-75.7525335 45.396051099999994),45.396051099999994,-75.7525335,903623731
1157,POINT (-75.687643 45.424979574999995),45.424979574999995,-75.687643,3869890059
1159,POINT (-75.7514097 45.396533700000006),45.396533700000006,-75.7514097,903623640
1161,POINT (-75.6867036 45.4239061),45.4239061,-75.6867036,10698447858
